week,mean,lo,hi,sim,method,Rt_true
48,0.8042021762584222,0.6835718498196588,0.9248325026971854,2,POMP,0.17776089509207918
49,0.8404984281070762,0.7144236638910147,0.9665731923231377,2,POMP,0.1780109264679243
50,0.8759268750323118,0.744537843777465,1.0073159062871586,2,POMP,0.1783182571798556
51,0.910112394745496,0.7735955355336716,1.0466292539573203,2,POMP,0.17865464830820682
52,0.9426606650255416,0.8012615652717104,1.0840597647793728,2,POMP,0.17865464830820682
0,1.9460437466104628,1.4828629820300137,2.7277067762037164,2,NeuralSBI,1.7278781583841252
1,1.9877393184163181,1.5374130490976092,2.7530444178604427,2,NeuralSBI,1.724788578297241
2,2.02343761250911,1.600596645767084,2.7688511668643883,2,NeuralSBI,1.7211740686968595
3,2.0627802763223766,1.6427474699761297,2.7976540643030696,2,NeuralSBI,1.716284404159195
4,2.103456886326305,1.6865142871843781,2.8250322627561015,2,NeuralSBI,1.7085536138958068
5,2.140715460524496,1.7232268889481133,2.8644974289975926,2,NeuralSBI,1.6943418922761952
6,2.1770722687935513,1.7379663147918312,2.8900639238747527,2,NeuralSBI,1.664803656493744
7,2.2232094855552464,1.7608313164403036,2.948532772035232,2,NeuralSBI,1.5995103765272645
8,2.250569804086035,1.7604101328620085,2.99305185884528,2,NeuralSBI,1.4598100548531736
9,2.285109910944256,1.7529211077318512,3.0213836187321936,2,NeuralSBI,1.2066916564080004
10,2.304935625686342,1.735805731028857,3.05216938344345,2,NeuralSBI,0.879337365944721
11,2.321248481058949,1.7185332857697588,3.060322705257529,2,NeuralSBI,0.6101393966114182
12,2.3337237059219627,1.6917008520892651,3.041362978299839,2,NeuralSBI,0.4599178927987313
13,2.324649569899048,1.6528592130516988,3.032884969124172,2,NeuralSBI,0.39107348046996016
14,2.3205131072223293,1.617679567462716,3.0053608235301934,2,NeuralSBI,0.3602429002356031
15,2.2997506478049052,1.5726153269408385,2.9637800059492463,2,NeuralSBI,0.34455660779956493
16,2.263525170087818,1.5414650037104016,2.915920016227186,2,NeuralSBI,0.3343788523782273
17,2.224768039604527,1.4668887960101056,2.8763889915453835,2,NeuralSBI,0.32590800653480434
18,2.1604157953809224,1.392876522394879,2.862346089209742,2,NeuralSBI,0.31768017683176764
19,2.095926119563706,1.3387528564560982,2.816785806595983,2,NeuralSBI,0.3092656372165763
20,2.021149748079414,1.263196032592424,2.8005120059082387,2,NeuralSBI,0.30060171287108733
